Szenario,Kapazität (MWh),Gesamterlös (€),Erlös/MWh (€/MWh),Zyklen,Finale_SoC
4,4,217121.5674368479,54280.39185921197,733.8592784861974,-1.7919464624642718e-20
10,10,542447.9817019207,54244.79817019207,733.0772301138888,1.8052161403248451e-19
100,100,5393463.530387644,53934.635303876436,729.2034604873952,8.056613688128709e-19
1000,1000,51022035.73559054,51022.03573559054,684.6413197008176,2.3434669224086315e-18
10000,10000,334322482.7576486,33432.24827576486,419.07605581140365,-1.6195615394840332e-16
10_pt,10,542787.1456668902,54278.71456668902,733.506286843234,2.827049179797825e-20
100_pt,100,5427965.0560822785,54279.65056082278,733.6086747465349,-6.204789377348443e-19
1000_pt,1000,54279421.87586516,54279.42187586516,733.3901551160141,2.359002798943608e-18
10000_pt,10000,542790268.9423535,54279.02689423535,733.4193720712055,4.421906450369368e-17
